
2015_06_26_14_47_413,$Sound pressure: 60.3846168518 dB,Luminosity: 99.6089935302 ,Dust: 0.0458064508 mg/m,
2015_06_26_14_48_065,$Sound pressure: 61.2820510864 dB,Luminosity: 99.6089935302 ,Dust: 0.0464516115 mg/m,
2015_06_26_14_48_717,$Sound pressure: 62.0512809753 dB,Luminosity: 92.8641281127 ,Dust: 0.0458064508 mg/m,
2015_06_26_14_48_354,$Sound pressure: 65.1190490722 dB,Luminosity: 98.5337219238 ,Dust: 0.0445161294 mg/m,
2015_06_26_14_48_006,$Sound pressure: 61.4102554321 dB,Luminosity: 77.9081115722 ,Dust: 0.0535483884 mg/m,
2015_06_26_14_48_673,$Sound pressure: 61.1538467407 dB,Luminosity: 86.9990234375 ,Dust: 0.0445161294 mg/m,
2015_06_26_14_48_310,$Sound pressure: 61.0256423950 dB,Luminosity: 93.0596313476 ,Dust: 0.0445161294 mg/m,
2015_06_26_14_48_962,$Sound pressure: 60.5128211975 dB,Luminosity: 92.0821151733 ,Dust: 0.0438709688 mg/m,
2015_06_26_14_48_614,$Sound pressure: 60.6410255432 dB,Luminosity: 99.4134902954 ,Dust: 0.0477419328 mg/m,
2015_06_26_14_48_250,$Sound pressure: 60.7692298889 dB,Luminosity: 98.0449676513 ,Dust: 0.0445161294 mg/m,
2015_06_26_14_48_902,$Sound pressure: 61.2820510864 dB,Luminosity: 98.5337219238 ,Dust: 0.0445161294 mg/m,
2015_06_26_14_48_570,$Sound pressure: 63.4615402221 dB,Luminosity: 99.1202316284 ,Dust: 0.0470967721 mg/m,
2015_06_26_14_48_222,$Sound pressure: 60.2564086914 dB,Luminosity: 99.1202316284 ,Dust: 0.0451612901 mg/m,
2015_06_26_14_48_858,$Sound pressure: 61.6666679382 dB,Luminosity: 100.0000000000 ,Dust: 0.0458064508 mg/m,
2015_06_26_14_48_510,$Sound pressure: 63.4615402221 dB,Luminosity: 97.6539611816 ,Dust: 0.0483870935 mg/m,
2015_06_26_14_48_178,$Sound pressure: 62.5641021728 dB,Luminosity: 99.4134902954 ,Dust: 0.0458064508 mg/m,
2015_06_26_14_48_814,$Sound pressure: 62.3076934814 dB,Luminosity: 98.6314773559 ,Dust: 0.0561290311 mg/m,
2015_06_26_14_48_466,$Sound pressure: 61.9230766296 dB,Luminosity: 89.5405654907 ,Dust: 0.0432258081 mg/m,
2015_06_26_14_48_118,$Sound pressure: 61.9230766296 dB,Luminosity: 45.4545440673 ,Dust: 0.0438709688 mg/m,
2015_06_26_14_48_770,$Sound pressure: 53.1250000000 dB,Luminosity: 99.7067413330 ,Dust: 0.0445161294 mg/m,
2015_06_26_14_48_406,$Sound pressure: 55.7894744873 dB,Luminosity: 96.6764450073 ,Dust: 0.0458064508 mg/m,
2015_06_26_14_48_074,$Sound pressure: 56.3157882690 dB,Luminosity: 88.6608047485 ,Dust: 0.0445161294 mg/m,
2015_06_26_14_48_726,$Sound pressure: 69.6428604125 dB,Luminosity: 86.1192550659 ,Dust: 0.0451612901 mg/m,
2015_06_26_14_48_362,$Sound pressure: 60.0000000000 dB,Luminosity: 86.2170104980 ,Dust: 0.0490322589 mg/m,
2015_06_26_14_49_014,$Sound pressure: 66.9047622680 dB,Luminosity: 99.5112380981 ,Dust: 0.0432258081 mg/m,
2015_06_26_14_49_666,$Sound pressure: 57.3684196472 dB,Luminosity: 87.8787841796 ,Dust: 0.0496774196 mg/m,
2015_06_26_14_49_303,$Sound pressure: 66.1904754638 dB,Luminosity: 89.5405654907 ,Dust: 0.0458064508 mg/m,
2015_06_26_14_49_970,$Sound pressure: 70.3333358764 dB,Luminosity: 85.1417388916 ,Dust: 0.0490322589 mg/m,
2015_06_26_14_49_623,$Sound pressure: 69.2857131958 dB,Luminosity: 92.3753662109 ,Dust: 0.0438709688 mg/m,
2015_06_26_14_49_259,$Sound pressure: 66.6666641235 dB,Luminosity: 91.8866043090 ,Dust: 0.0438709688 mg/m,
2015_06_26_14_49_911,$Sound pressure: 59.7368431091 dB,Luminosity: 91.8866043090 ,Dust: 0.0432258081 mg/m,
2015_06_26_14_49_563,$Sound pressure: 67.6190490722 dB,Luminosity: 98.8269805908 ,Dust: 0.0535483884 mg/m,
